mean,regionname,state
157462.65625,South Pasadena,FL
22306.0234375,Waurika,OK
69417.265625,Forward Township,PA
155304.421875,Taghkanic,NY
32818.0742188,Homestead,PA
136595.984375,Nottingham,MD
107152.210938,Amherst,VA
32511.2441406,Town of North Collins,NY
113059.835938,Lempster,NH
121685.140625,Meridian,ID
80228.9140625,Urbana,NY
196236.140625,Seattle HillSilver Firs,WA
160076.3125,Forked River,NJ
63075.5039062,Nesquehoning,PA
267955.40625,Placentia,CA
378371.21875,Upper Makefield,PA
82058.6328125,Emmett,ID
63319.6796875,Channelview,TX
37693.171875,Ellport,PA
70956.625,Canadice,NY
456723.78125,San Rafael,CA
92694.78125,Millcreek Township,PA
147881.125,San Tan Valley,AZ
75985.5390625,Franklinville,NC
129420.078125,Alstead,NH
69934.1328125,Mishawaka,IN
152008.4375,Hardy,VA
51008.4335938,Marlboro,NY
133174.296875,Evergreen Park,IL
146875.90625,West Jordan,UT
9399.19726562,Hanley Hills,MO
87540.5625,Opalocka,FL
105738.554688,Kerhonkson,NY
52708.03125,Huntsville,AL
286157.4375,Takoma Park,MD
141984.34375,Maricopa,AZ
80597.59375,Fairview Heights,IL
314702.0,Orange,CA
202984.734375,Compton,CA
178824.5,Lee,NH
137324.5,Easton,CT
193109.640625,Barberton,WA
96690.359375,Delta,CO
291904.0625,San Juan Capistrano,CA
99472.2890625,Pflugerville,TX
54772.6914062,Jackson,MI
122272.6875,Elizabethtown,PA
199689.953125,Upper Dublin,PA
95264.2578125,Mary Esther,FL
135218.875,Weston,FL
87653.4140625,Cortland,OH
106042.96875,Hagerstown,MD
280543.375,Oak Hill,TN
275170.625,Oxnard,CA
112304.820312,Floyds Knobs,IN
91533.734375,Twin Falls,ID
166457.03125,Earl Township,PA
158712.84375,Farmington,UT
82340.9609375,Appling,GA
153059.84375,Nashua,NH
67610.4453125,Lake Wales,FL
157546.984375,Ashburnham,MA
73948.59375,Saint Paris,OH
136559.84375,Clayton,WA
57520.0820312,Longview,NC
299213.6875,Santa Rosa,CA
156576.3125,Rocky Hill,CT
21528.9160156,Gulfport,MS
99979.921875,West Fargo,ND
61691.5664062,Wesleyville,PA
70283.1328125,Hickory,NC
74387.953125,Oakdale,PA
79316.8671875,Zephyrhills,FL
119420.882812,Bright,IN
80269.078125,Town of Phelps,NY
110836.546875,Pleasant Gap,PA
206200.0,Center Harbor,NH
22191.1640625,Lincolnton,NC
27868.6738281,Mc Donald,PA
166644.578125,Seatac,WA
88259.0390625,McDonough,GA
167222.09375,Hillsboro,OR
215986.75,Gaithersburg,MD
647001.125,New Shoreham,RI
169736.140625,Oak Harbor,WA
135283.125,Benner Township,PA
291718.15625,Stow,MA
101908.4375,East Helena,MT
135459.03125,Wildwood,MO
130777.507812,Elmwood Park,IL
135819.28125,West Grove,PA
70775.1015625,Martinsville,IN
232428.109375,Applegate,CA
109230.921875,Spokane Valley,WA
211582.328125,West Miami,FL
78342.96875,Campobello,SC
129691.164062,Churchville,VA
99127.7109375,Santa Teresa,NM
443035.40625,South San Francisco,CA
120757.03125,Voorhees,NJ
87227.3125,Sweet Home,OR
76824.8984375,Red Bank,TN
120032.929688,New Freedom,PA
194343.78125,Gardiner,NY
85016.0625,West Monroe,NY
115038.554688,Cold Spring,KY
87701.203125,Tulare,CA
25078.3125,BatesburgLeesville,SC
258626.5,Orange,CT
101538.15625,Alachua,FL
99158.6328125,Berea,OH
32325.703125,Milford,VA
24959.0371094,Bedford Heights,OH
83008.4375,Ontario,OR
173438.953125,Northampton,MA
80760.2421875,Fillmore,IN
119776.703125,Bethlehem,PA
31633.734375,CarnotMoon,PA
61534.9414062,Fountain,FL
278989.1875,Westport,MA
22898.3945312,Franklinton,NC
201540.96875,Lindon,UT
49969.8789062,East Mc Keesport,PA
439189.0625,Boca Grande,FL
97250.6015625,Lebanon,OR
141091.96875,Leonard,MI
134111.640625,New London,CT
150357.828125,Kalama,WA
50669.078125,Franklin Park,PA
120846.585938,Onsted,MI
26077.109375,Sturgeon,PA
49009.6367188,Varick,NY
198508.03125,Itasca,IL
748231.375,Kentfield,CA
59588.3515625,Eveleth,MN
257134.53125,Warren,CT
76753.8125,Sandusky South,OH
201404.8125,Kennett Township,PA
198667.46875,Sequim,WA
128315.664062,Alexander,NC
249297.59375,Lake Forest,CA
125310.445312,Palos Hills,IL
207612.453125,Montclair,CA
116172.289062,Town of Plymouth,NH
110003.210938,Palm Harbor,FL
170970.6875,Catonsville,MD
112098.390625,Morton,IL
48910.4414062,Hartford City,IN
108340.5625,Van Buren Township,MI
59383.9375,Grand Coulee,WA
100234.539062,DeMotte,IN
25374.6992188,Perryville,MO
428761.1875,Cohasset,MA
110847.789062,Hudsonville,MI
89299.1953125,Mohawk,NY
131818.875,Bridgeport,CT
178579.515625,Oak Grove,OR
191667.875,Milan,NY
166406.828125,Leawood,KS
252813.65625,The Plains,VA
197338.15625,Middleborough,MA
154705.625,Highland,NY
328640.59375,Mission Viejo,CA
124664.257812,Bristol,CT
82036.546875,Marshall,VA
76834.9375,Rittman,OH
102538.953125,Laurel,VA
195245.78125,Dunwoody,GA
85500.0,Madison Heights,VA
341832.0625,Brea,CA
130407.632812,Turners Falls,MA
67640.9609375,Westway,TX
26719.2773438,Yukon,OK
385231.6875,San Gabriel,CA
214023.6875,Elm Grove,WI
113144.179688,Alsace Township,PA
70295.1796875,Monroeville,IN
43901.6054688,Amherst,NY
60432.53125,Theodore,AL
61591.1640625,Winamac,IN
146310.046875,Bloomfield Hills,MI
136741.359375,Myrtle Grove,NC
109335.34375,Thurman,NY
122505.21875,Turner,OR
64265.4609375,Griffith,IN
104444.578125,Hinckley,OH
82720.8828125,Micanopy,FL
26307.6308594,Diberville,MS
165290.765625,Bartlett,IL
125579.515625,Laconia,NH
133938.953125,Caernarvon Township,PA
115198.796875,Sewickley,PA
141964.65625,Newberg,OR
127702.8125,Woodstock,VA
105835.742188,Tavares,FL
103323.695312,Town of Argyle,NY
75215.6640625,Town of Homer,NY
86217.265625,Tallahassee,FL
140374.296875,Hershey,PA
110554.617188,Medford,MN
96889.15625,Daphne,AL
320658.65625,Glendora,CA
65757.828125,Town of Wilson,NY
79281.5234375,Callaway,FL
