mean,regionname,state
362978.3125,Woodbourne,PA
118526.101562,Muncie,IN
84057.828125,Wellington,NV
245977.109375,Nottingham,MD
197910.046875,Amherst,VA
155900.40625,Rio Rico,AZ
37685.5429688,Town of North Collins,NY
254036.140625,Scenic Oaks,TX
200115.65625,Meridian,ID
315421.125,Seattle HillSilver Firs,WA
479133.0,Placentia,CA
604563.25,Upper Makefield,PA
159287.953125,Emmett,ID
106283.9375,Channelview,TX
748479.375,San Rafael,CA
183072.296875,Millcreek Township,PA
138487.953125,San Tan Valley,AZ
22967.4707031,Franklinville,NC
119114.859375,Mishawaka,IN
205352.609375,Hardy,VA
184870.28125,Marlboro,NY
293217.75,Spring Grove,IL
173497.1875,Evergreen Park,IL
186175.90625,West Jordan,UT
126463.851562,Huntsville,AL
405283.90625,Takoma Park,MD
245931.328125,Boiling Springs,PA
128047.789062,Maricopa,AZ
172655.015625,Fairview Heights,IL
491484.09375,Orange,CA
246830.515625,Compton,CA
298132.5625,Lee,NH
596167.4375,Easton,CT
309976.75,Barberton,WA
155064.25,Delta,CO
676454.4375,San Juan Capistrano,CA
70610.0390625,Jackson,MI
178339.359375,Elizabethtown,PA
367372.25,Upper Dublin,PA
175687.546875,Mary Esther,FL
360785.28125,Weston,FL
156004.8125,Cortland,OH
154569.078125,Hagerstown,MD
460038.375,Oak Hill,TN
360553.6875,Oxnard,CA
251508.03125,Floyds Knobs,IN
166775.09375,Twin Falls,ID
204983.125,Earl Township,PA
134106.828125,Meridian,MS
239558.234375,Farmington,UT
243360.640625,Appling,GA
43658.6328125,Copperas Cove,TX
254889.5625,Woodland,WA
249507.234375,Nashua,NH
170955.828125,Lake Wales,FL
242663.859375,Ashburnham,MA
108180.320312,Saint Paris,OH
175003.21875,Keystone Heights,FL
603044.0,Colts Neck,NJ
204977.90625,Holt,MO
92690.359375,Longview,NC
343784.84375,Upper Salford Township,PA
440114.78125,Santa Rosa,CA
302827.34375,Rocky Hill,CT
43353.0117188,Gulfport,MS
111267.070312,West Fargo,ND
74973.4921875,Wesleyville,PA
330825.3125,Stevensville,MD
216324.90625,Hickory,NC
180851.0,Bright,IN
120712.453125,Converse,TX
107137.75,Town of Phelps,NY
141351.0,Lincolnton,NC
159200.40625,South Holland,IL
193828.515625,Mc Donald,PA
242815.265625,Seatac,WA
488485.5625,Randolph,NJ
175281.125,McDonough,GA
250798.796875,Hillsboro,OR
394303.96875,Gaithersburg,MD
858261.75,New Shoreham,RI
239378.3125,Oak Harbor,WA
228618.46875,Benner Township,PA
375791.1875,East La Mirada,CA
464677.8125,Stow,MA
125579.921875,East Helena,MT
109328.109375,Lucasville,OH
334519.0,Wildwood,MO
238591.171875,Elmwood Park,IL
211134.9375,West Grove,PA
120287.546875,Martinsville,IN
152816.46875,Spokane Valley,WA
218809.234375,Campobello,SC
223009.234375,Churchville,VA
188646.984375,Santa Teresa,NM
609329.5625,South San Francisco,CA
322444.28125,Voorhees,NJ
152502.8125,Sweet Home,OR
266681.125,New Freedom,PA
162411.640625,Whitesburg,GA
324163.28125,Gardiner,NY
82424.5,West Monroe,NY
204459.4375,Cold Spring,KY
182342.96875,Tulare,CA
121858.632812,BatesburgLeesville,SC
118999.195312,Avenal,CA
364285.375,Orange,CT
196255.828125,Barnhart,MO
215787.15625,Alachua,FL
148361.046875,Berea,OH
28700.8027344,Bedford Heights,OH
232597.1875,Chelsea,AL
96495.5859375,Ontario,OR
294648.59375,Northampton,MA
170061.453125,Bethlehem,PA
182224.5,CarnotMoon,PA
159326.90625,Bryant,AR
963243.8125,Scarsdale,NY
86782.328125,Edwards,IL
439678.53125,Westport,MA
166524.90625,Franklinton,NC
446070.09375,Newfields,NH
196501.203125,Keyes,CA
146638.15625,Lebanon,OR
297256.6875,Leonard,MI
182937.75,New London,CT
234685.140625,Kalama,WA
466664.03125,Winfield,IL
365023.28125,Hunters Creek Village,TX
289628.96875,Franklin Park,PA
186114.453125,Onsted,MI
217173.5,Sturgeon,PA
179866.671875,Rosedale,MD
370865.0,Itasca,IL
206831.328125,Wolfforth,TX
274965.46875,Port Deposit,MD
1497092.0,Kentfield,CA
145211.640625,Krum,TX
74043.7734375,Eveleth,MN
380833.65625,Warren,CT
151261.453125,Sandusky South,OH
403930.46875,Kennett Township,PA
307394.375,Sequim,WA
503514.09375,Lake Forest,CA
268961.03125,Palos Hills,IL
260556.625,Montclair,CA
598613.875,Fair Haven,NJ
185486.75,Town of Plymouth,NH
299380.4375,Palm Harbor,FL
262855.40625,Catonsville,MD
208757.4375,Morton,IL
72875.1015625,Hartford City,IN
62185.140625,Van Buren Township,MI
191439.765625,East Riverdale,MD
127078.71875,Yreka,CA
154914.453125,DeMotte,IN
29620.4824219,Perryville,MO
274564.25,Centereach,NY
653384.5625,Cohasset,MA
259103.609375,Malabar,FL
181609.640625,Hudsonville,MI
178322.484375,Bridgeport,CT
243161.046875,Oak Grove,OR
102171.890625,Milan,NY
280358.625,Leawood,KS
498346.46875,The Plains,VA
289131.75,Middleborough,MA
182456.21875,Highland,NY
508907.75,Mission Viejo,CA
194485.9375,Bristol,CT
430135.0625,Marshall,VA
123822.085938,Rittman,OH
175491.171875,Laurel,VA
353989.1875,Dunwoody,GA
141475.09375,Madison Heights,VA
474822.25,Brea,CA
152297.984375,Turners Falls,MA
157300.40625,Cherry Grove,OH
59338.5546875,Yukon,OK
533326.4375,San Gabriel,CA
334595.53125,Elm Grove,WI
211085.140625,Alsace Township,PA
106022.492188,Monroeville,IN
79048.1953125,Amherst,NY
146695.984375,Theodore,AL
99960.640625,Winamac,IN
407073.9375,Bloomfield Hills,MI
279050.21875,Myrtle Grove,NC
266785.125,Turner,OR
83722.0859375,Griffith,IN
283915.5625,Hinckley,OH
90692.3671875,Micanopy,FL
32349.3984375,Diberville,MS
226672.296875,Beachwood,NJ
213983.125,Beach Park,IL
313235.34375,Bartlett,IL
205763.453125,Laconia,NH
255200.0,Caernarvon Township,PA
289209.625,Colonia,NJ
218027.703125,Smithsburg,MD
308429.75,Sewickley,PA
228911.640625,Newberg,OR
213499.203125,Woodstock,VA
193086.75,Tavares,FL
119088.351562,Town of Homer,NY
236950.203125,Tallahassee,FL
244968.265625,Hershey,PA
164579.921875,Medford,MN
203651.40625,Daphne,AL
435557.3125,Glendora,CA
46518.875,Town of Wilson,NY
171632.9375,Callaway,FL
236998.796875,Pleasant View,UT
