mean,regionname
0.39357978321,Burlington, NC
1.48879750838e-07,Vallejo-Fairfield, CA
0.0882224305286,Northeast Wyoming nonmetropolitan area
0.212377777117,Grants Pass, OR
0.12401738707,Erie, PA
0.0745054159382,Sierra Vista-Douglas, AZ
0.0790673763657,Boulder, CO
0.241983507493,Albany, OR
0.138465091368,Pensacola-Ferry Pass-Brent, FL
0.726101493774,Grand Forks, ND-MN
0.151789271538,Sebring, FL
0.511818793835,Binghamton, NY
0.0856412279013,Prescott, AZ
0.191696253761,Lebanon, PA
2.11132795165e-07,Central-Southeastern Wyoming nonmetropolitan area
0.183376682744,Auburn-Opelika, AL
0.284172136679,Ithaca, NY
0.231861482155,Syracuse, NY
0.0616302119167,Southeast Oklahoma nonmetropolitan area
1.11174784046e-17,New York-Jersey City-White Plains, NY-NJ Metropolitan Division
0.203916273702,Springfield, MO
0.276333329517,San Juan-Carolina-Caguas, PR
0.132679912704,Madison, WI
0.658056471948,Fort Worth-Arlington, TX Metropolitan Division
2.0212683745e-12,Seattle-Bellevue-Everett, WA Metropolitan Division
0.0201023888964,Piedmont North Carolina nonmetropolitan area
0.206810557109,El Centro, CA
0.0812994284858,Southeast Alabama nonmetropolitan area
0.0223508248618,Great Falls, MT
0.45414902848,Rochester, MN
0.128422217604,Peoria, IL
2.34741679535e-12,Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division
0.352686326902,Punta Gorda, FL
0.181303080164,Wichita Falls, TX
0.191433493959,Idaho Falls, ID
5.06626632997e-07,Stockton-Lodi, CA
0.220691661141,State College, PA
0.200670508484,Pittsfield, MA
5.69527122142e-14,Miami-Miami Beach-Kendall, FL Metropolitan Division
0.214446014801,Walla Walla, WA
4.47557828109e-07,Spartanburg, SC
0.23159305955,Elgin, IL Metropolitan Division
0.175044073364,Dalton, GA
0.142004740601,Missoula, MT
0.215837905043,Cheyenne, WY
0.196165434627,Elizabethtown-Fort Knox, KY
2.63348293875e-13,Anaheim-Santa Ana-Irvine, CA Metropolitan Division
0.332176548114,Monroe, MI
5.04050480364e-13,Bridgeport-Stamford-Norwalk, CT
2.67898484097e-06,California-Lexington Park, MD
0.415053958958,Central Kentucky nonmetropolitan area
0.173650846159,Jackson, MS
0.401690074545,Los Alamos County, New Mexico nonmetropolitan area
0.140678962478,Portland-South Portland, ME
0.197933365997,Provo-Orem, UT
4.66042048925e-06,York-Hanover, PA
1.72834447964e-12,Fayetteville-Springdale-Rogers, AR-MO
0.159147274764,Valdosta, GA
1.6994530023e-12,Portland-Vancouver-Hillsboro, OR-WA
0.148007881178,New Haven, CT
9.24993535735e-13,Sacramento--Roseville--Arden-Arcade, CA
0.109396444746,Medford, OR
0.174005651205,Bakersfield, CA
0.0909979112885,Ocean City, NJ
2.145024702,Gary, IN Metropolitan Division
1.72035371224e-16,Allentown-Bethlehem-Easton, PA-NJ
1.22031431061e-06,Cape Coral-Fort Myers, FL
1.9493347673e-12,Chicago-Naperville-Elgin, IL-IN-WI
0.48081003014,Jefferson City, MO
0.57044173112,Niles-Benton Harbor, MI
0.0800742274247,Gainesville, FL
5.66403301163e-07,Augusta-Richmond County, GA-SC
0.493180451018,Vineland-Bridgeton, NJ
2.38111828197e-06,Milwaukee-Waukesha-West Allis, WI
3.25582289341e-12,Anniston-Oxford-Jacksonville, AL
0.881813214997,Cape Girardeau, MO-IL
2.50673943304e-17,New York-Newark-Jersey City, NY-NJ-PA
0.292223245174,Saginaw, MI
0.218540985684,Lynchburg, VA
7.55388266334e-07,Visalia-Porterville, CA
0.328668644756,Brownsville-Harlingen, TX
0.296177120994,Las Cruces, NM
3.15713740427e-07,Carbondale-Marion, IL
0.138828944134,Boise City, ID
0.744282838474,Flint, MI
0.0510401935786,Northwest Washington nonmetropolitan area
0.124737554481,Odessa, TX
8.64897967418e-07,Haverhill-Newburyport-Amesbury Town, MA-NH NECTA Division
1.52002366344e-06,Central New York nonmetropolitan area
0.175105703963,Chattanooga, TN-GA
8.10164463648e-07,Dover-Durham, NH-ME
0.393670842435,South Central Kentucky nonmetropolitan area
