mean,regionname
0.18772377403,Casper, WY
0.514393722902,Grand Island, NE
0.0443991289713,Barnstable Town, MA
0.291774051989,Victoria, TX
0.173275321779,Savannah, GA
1.48752326082e-06,Greenville, NC
0.623677374838,Shreveport-Bossier City, LA
1.6741460334e-06,Salinas, CA
0.143386406269,Roanoke, VA
0.117391616554,Sebastian-Vero Beach, FL
0.221437514482,Columbus, IN
0.439357252286,Wenatchee, WA
0.141647890935,Auburn-Opelika, AL
3.27146300194e-07,Houston-The Woodlands-Sugar Land, TX
1.52856775614e-18,Warren-Troy-Farmington Hills, MI Metropolitan Division
0.109076778912,Southwest Wyoming nonmetropolitan area
0.123429492377,Pensacola-Ferry Pass-Brent, FL
0.189896400981,Myrtle Beach-Conway-North Myrtle Beach, SC-NC
0.309581450664,Waterbury, CT
0.110627420529,Charleston, WV
0.16874729914,Lower Savannah South Carolina nonmetropolitan area
0.115299501137,Alexandria, LA
0.0275272426643,Great Falls, MT
0.465082968977,Rochester, MN
0.434208512983,Kennewick-Richland, WA
0.200131303869,Brunswick, GA
0.273932456964,Monroe, LA
0.15309915103,Nassau County-Suffolk County, NY Metropolitan Division
4.45887253711e-13,Phoenix-Mesa-Scottsdale, AZ
2.34927734665e-12,Virginia Beach-Norfolk-Newport News, VA-NC
7.44935438565e-07,Jacksonville, NC
0.0794676696693,Lincoln, NE
4.13980229279e-12,Charlotte-Concord-Gastonia, NC-SC
0.0474760760861,Santa Cruz-Watsonville, CA
4.95422390152e-07,Stockton-Lodi, CA
6.4930517059e-13,Peabody-Salem-Beverly, MA NECTA Division
0.0552270730162,Southeast Oklahoma nonmetropolitan area
0.151305982353,Watertown-Fort Drum, NY
0.0947027168142,Asheville, NC
1.47965563463e-12,Portland-Vancouver-Hillsboro, OR-WA
6.76338618062e-12,Bowling Green, KY
0.0520042988767,Northwest Washington nonmetropolitan area
0.208416837567,Yakima, WA
0.154652163856,Elizabethtown-Fort Knox, KY
-,Southeast Idaho nonmetropolitan area
2.42678279262e-07,Carbondale-Marion, IL
3.20547438862e-13,San Luis Obispo-Paso Robles-Arroyo Grande, CA
0.448418097022,Jefferson City, MO
0.151395954323,Jackson, TN
0.145560300889,Eugene, OR
3.9860643808e-07,Bend-Redmond, OR
0.205867289342,Ithaca, NY
1.47892755928e-11,Greenville-Anderson-Mauldin, SC
0.129454002212,Lubbock, TX
3.40370411169e-07,New Bedford, MA
0.473909742955,Vineland-Bridgeton, NJ
0.10124158465,Raleigh, NC
0.471939847907,Trenton, NJ
6.30813171046e-07,Minneapolis-St. Paul-Bloomington, MN-WI
4.33530426482e-13,Bridgeport-Stamford-Norwalk, CT
0.0674202843266,Southeast Minnesota nonmetropolitan area
0.0685904560149,Urban Honolulu, HI
0.147711194138,Winston-Salem, NC
0.141064017372,Champaign-Urbana, IL
0.230265275821,Springfield, IL
0.13858029502,Anchorage, AK
0.0494563063031,Central Washington nonmetropolitan area
0.185463484442,Muskegon, MI
8.83282300497e-14,San Jose-Sunnyvale-Santa Clara, CA
9.75966979161e-13,New Orleans-Metairie, LA
0.0686196726336,Boulder, CO
0.219828358655,Duluth, MN-WI
0.186360327228,Longview, TX
0.179525450145,Merced, CA
0.314275393801,Eau Claire, WI
0.0786901279166,Gainesville, FL
0.286925643221,South Central Kentucky nonmetropolitan area
0.102263916014,Wilmington, NC
0.0583742803105,Southwest Washington nonmetropolitan area
0.121710030296,Portland-South Portland, ME
1.83302975617e-07,Central-Southeastern Wyoming nonmetropolitan area
0.211584814875,Las Cruces, NM
9.93173960837e-18,Chicago-Naperville-Arlington Heights, IL Metropolitan Division
0.126453057595,Madison, WI
7.48043802604e-10,Buffalo-Cheektowaga-Niagara Falls, NY
0.124268004894,Redding, CA
0.187965311255,Dover, DE
1.51733708145e-06,Killeen-Temple, TX
0.208924885038,Lancaster, PA
1.06106687338e-12,Taunton-Middleborough-Norton, MA NECTA Division
0.122165814062,Dalton, GA
2.28383702647e-12,Palm Bay-Melbourne-Titusville, FL
0.0604961478266,Santa Fe, NM
0.155856291005,Wichita, KS
0.0812727723603,Reading, PA
1.00070135287e-11,Indianapolis-Carmel-Anderson, IN
0.244268251491,Yuba City, CA
0.152330711718,Beaumont-Port Arthur, TX
0.791209134056,Gulfport-Biloxi-Pascagoula, MS
5.68995926581e-07,Hanford-Corcoran, CA
0.395686479249,Panama City, FL
0.127955811266,Ann Arbor, MI
3.74158479345e-06,Elkhart-Goshen, IN
9.65401326455e-07,Daphne-Fairhope-Foley, AL
2.00313047984e-06,Milwaukee-Waukesha-West Allis, WI
1.12333294771e-12,Lynn-Saugus-Marblehead, MA NECTA Division
6.79551186569e-12,Lawrence-Methuen Town-Salem, MA-NH NECTA Division
0.135409763043,Modesto, CA
1.48272033042e-06,Capital/Northern New York nonmetropolitan area
0.20177980153,El Centro, CA
