mean,regionname
3.32651617724e-07,Jacksonville, NC
0.030136673962,Santa Cruz-Watsonville, CA
0.072020959063,Watertown-Fort Drum, NY
2.22469816634e-06,Elkhart-Goshen, IN
1.54337845229e-13,Oxnard-Thousand Oaks-Ventura, CA
6.17904751175e-07,Cape Coral-Fort Myers, FL
4.4932031299e-14,San Jose-Sunnyvale-Santa Clara, CA
0.22021690703,Hot Springs, AR
1.69775491931e-06,Salt Lake City, UT
0.0876912107116,Savannah, GA
1.15786020375e-13,Anaheim-Santa Ana-Irvine, CA Metropolitan Division
0.106081203434,Manchester, NH
0.203902568803,Racine, WI
8.28691800001e-07,East Central New York nonmetropolitan area
0.169872248391,South Central Kentucky nonmetropolitan area
0.0446021177105,Reading, PA
0.0769141165922,Chattanooga, TN-GA
0.0838252666347,Jackson, MS
1.11245190545e-06,Milwaukee-Waukesha-West Allis, WI
0.0912777632969,Lower Savannah South Carolina nonmetropolitan area
2.2439532071e-13,Miami-Fort Lauderdale-West Palm Beach, FL
0.0942890386063,Springfield, OH
0.143502999739,Victoria, TX
0.0999738521012,Dover, DE
0.0556193307344,Tallahassee, FL
0.125741420475,Pittsfield, MA
0.303003974624,Lexington-Fayette, KY
2.74841354191e-12,Hartford-West Hartford-East Hartford, CT
0.211078581764,Trenton, NJ
0.0716868493217,Nantucket Island and Martha's Vineyard nonmetropolitan area
3.34839218755e-07,Minneapolis-St. Paul-Bloomington, MN-WI
6.64324113711e-07,Greenville, NC
0.0780917096008,El Paso, TX
3.87903109859e-07,Hickory-Lenoir-Morganton, NC
7.23035729434e-19,Warren-Troy-Farmington Hills, MI Metropolitan Division
0.0595389443576,Montgomery, AL
0.0377495010852,Lafayette, LA
2.67368503337e-07,Montgomery County-Bucks County-Chester County, PA Metropolitan Division
0.0893533730671,Rocky Mount, NC
0.105641476519,Brunswick, GA
0.0708705414517,Lebanon, PA
0.0403867160165,Boulder, CO
0.0592275308611,Lubbock, TX
1.94093874502e-12,Lowell-Billerica-Chelmsford, MA-NH NECTA Division
0.0612459284095,Southwest Wyoming nonmetropolitan area
2.0291555404e-12,Las Vegas-Henderson-Paradise, NV
4.0929655981e-10,Buffalo-Cheektowaga-Niagara Falls, NY
0.0287739521703,Northwest Washington nonmetropolitan area
0.0968181314192,Las Cruces, NM
0.225650916248,Kennewick-Richland, WA
0.13331006251,Baton Rouge, LA
3.56813525507e-07,Jacksonville, FL
