mean,regionname
0.0880687544933,Wichita Falls, TX
0.128562340183,Monroe, LA
0.0967062669533,Wichita, KS
0.122604695339,Lewiston, ID-WA
0.0771154282168,Fort Collins, CO
0.179643738455,Kokomo, IN
6.19189754027e-18,Chicago-Naperville-Arlington Heights, IL Metropolitan Division
0.134879963597,Rockford, IL
0.0409003748968,Lafayette, LA
2.47659713037e-13,Bridgeport-Stamford-Norwalk, CT
2.87622091263e-07,Tacoma-Lakewood, WA Metropolitan Division
6.88180145351e-07,Providence-Warwick, RI-MA
2.33342044746e-07,Carson City, NV
0.275756980557,Shreveport-Bossier City, LA
0.135351169646,Springfield, MA-CT
0.110847054197,Decatur, IL
0.214136906263,Toledo, OH
8.36009309977e-07,Burlington-South Burlington, VT
0.0914269401777,Eugene, OR
0.102506855631,Nantucket Island and Martha's Vineyard nonmetropolitan area
9.78242889643e-13,Portland-Vancouver-Hillsboro, OR-WA
0.04308495058,Southeast Minnesota nonmetropolitan area
0.128002175264,Elgin, IL Metropolitan Division
0.43800661276,Cape Girardeau, MO-IL
0.0955444768222,Salem, OR
5.77424657031e-18,Deltona-Daytona Beach-Ormond Beach, FL
0.101597567121,Merced, CA
1.24878530055e-12,Virginia Beach-Norfolk-Newport News, VA-NC
0.0620635460266,Valdosta, GA
7.79883700716e-07,Southwest New York nonmetropolitan area
0.0697391484207,Jonesboro, AR
0.075788695121,Dalton, GA
4.83510903093e-13,Peabody-Salem-Beverly, MA NECTA Division
0.0325385538105,East Washington nonmetropolitan area
0.151410997239,Terre Haute, IN
0.324316457731,Lawrence, KS
5.8082665936e-12,Indianapolis-Carmel-Anderson, IN
2.52697636239e-13,San Francisco-Oakland-Hayward, CA
0.141927149138,Albany, OR
0.137774121847,Philadelphia, PA Metropolitan Division
1.80640869156e-13,Oxnard-Thousand Oaks-Ventura, CA
0.0601483311262,Northeast Wyoming nonmetropolitan area
0.0689259641961,Peoria, IL
3.27770965917e-07,Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
0.566642620714,Clarksville, TN-KY
0.0955771323427,Memphis, TN-MS-AR
2.27852556802e-12,Lowell-Billerica-Chelmsford, MA-NH NECTA Division
4.7623577622e-07,Leominster-Gardner, MA
0.0689117291936,Lubbock, TX
0.0507993705851,Southeast Alaska nonmetropolitan area
0.0706559356012,Midland, MI
3.65216275681e-07,College Station-Bryan, TX
0.0777220852392,Corpus Christi, TX
0.0404235053925,Ocean City, NJ
0.0821753823411,Albuquerque, NM
3.04684687808e-18,Nashville-Davidson--Murfreesboro--Franklin, TN
0.0335483607283,Southeast Missouri nonmetropolitan area
4.00639655004e-07,Dover-Durham, NH-ME
0.0575897507981,Columbia, SC
4.01663653397e-11,Detroit-Dearborn-Livonia, MI Metropolitan Division
0.089821899497,Fresno, CA
0.0323733166216,Southeast Mississippi nonmetropolitan area
0.0561992635045,Alexandria, LA
6.78617571661e-18,McAllen-Edinburg-Mission, TX
0.197066750645,Florence, SC
3.6477209972e-13,Denver-Aurora-Lakewood, CO
0.0503180466128,Prescott, AZ
2.56582327739e-13,Oakland-Hayward-Berkeley, CA Metropolitan Division
1.82024760923e-12,Brockton-Bridgewater-Easton, MA NECTA Division
0.0255280528576,Danville, IL
0.139578712905,Brownsville-Harlingen, TX
4.64723563436e-07,Grand Rapids-Wyoming, MI
0.266306198232,Jefferson City, MO
0.111790930525,Springfield, IL
3.48935505957e-14,Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division
0.327355620291,Bay City, MI
7.89221354085e-07,Pittsburgh, PA
1.81327042484e-13,Hilton Head Island-Bluffton-Beaufort, SC
0.0534623967053,Mansfield, OH
0.0297839672445,Northwest Washington nonmetropolitan area
0.087332555453,Savannah, GA
0.0367523118744,Barnstable Town, MA
2.3543192977e-07,New Bedford, MA
7.42130526464e-13,Orlando-Kissimmee-Sanford, FL
0.101480020782,Syracuse, NY
1.38119956127e-12,Seattle-Tacoma-Bellevue, WA
3.70766176481e-07,Jacksonville, FL
5.58207063835e-13,New Orleans-Metairie, LA
2.55392419365e-13,Phoenix-Mesa-Scottsdale, AZ
0.402032197311,Dutchess County-Putnam County, NY Metropolitan Division
0.107223129063,Springfield, MO
1.7553252734e-13,San Luis Obispo-Paso Robles-Arroyo Grande, CA
0.164167385303,Monroe, MI
0.053688476437,Tallahassee, FL
7.60345971356e-12,Greenville-Anderson-Mauldin, SC
0.0874469247964,Champaign-Urbana, IL
0.0768310259387,Framingham, MA NECTA Division
7.09754384809e-07,Killeen-Temple, TX
0.166798611462,Glens Falls, NY
0.160537846649,Punta Gorda, FL
1.63619533145e-07,Mount Vernon-Anacortes, WA
7.97263889485e-07,Austin-Round Rock, TX
8.14054371471e-19,Warren-Troy-Farmington Hills, MI Metropolitan Division
0.0182130141624,Great Falls, MT
1.86572650153e-07,Kingsport-Bristol-Bristol, TN-VA
0.0872573590858,Nassau County-Suffolk County, NY Metropolitan Division
4.60428645667e-12,Lawrence-Methuen Town-Salem, MA-NH NECTA Division
8.59155057486e-07,Ogden-Clearfield, UT
0.0983592082294,Myrtle Beach-Conway-North Myrtle Beach, SC-NC
0.0675930399649,Chico, CA
0.234714534521,Trenton, NJ
0.0903882071128,Dayton, OH
4.76822430717e-14,San Jose-Sunnyvale-Santa Clara, CA
0.181458319495,South Central Kentucky nonmetropolitan area
3.87133199568e-12,Bowling Green, KY
0.140107945462,Baton Rouge, LA
8.93459806782e-07,Green Bay, WI
0.140386695152,Lake County-Kenosha County, IL-WI Metropolitan Division
0.0656489181369,Auburn-Opelika, AL
0.128214740649,Idaho Falls, ID
2.12339190052e-12,Charlotte-Concord-Gastonia, NC-SC
0.0759548840774,Tucson, AZ
1.25845246856e-12,Palm Bay-Melbourne-Titusville, FL
0.130727593086,Yakima, WA
0.0808714715548,Johnstown, PA
0.15080888665,Victoria, TX
0.152193296722,Portsmouth, NH-ME
0.0936152141674,Rocky Mount, NC
0.0278787115364,Central Washington nonmetropolitan area
0.135182720288,Pueblo, CO
0.0833169023315,Durham-Chapel Hill, NC
0.10326960425,Nashua, NH-MA NECTA Division
2.90736006157e-12,Albany-Schenectady-Troy, NY
0.108217731183,Casper, WY
0.31804293801,Grand Island, NE
6.40428005051e-07,Evansville, IN-KY
0.414116032047,Gulfport-Biloxi-Pascagoula, MS
0.249200783403,Kansas City, MO-KS
0.100107808511,El Centro, CA
0.11357116599,Walla Walla, WA
1.31795840665e-17,New York-Newark-Jersey City, NY-NJ-PA
0.0826543216741,Lebanon, PA
3.97505500558e-07,Visalia-Porterville, CA
7.03508668739e-07,Cleveland-Elyria, OH
0.217268581095,Cumberland, MD-WV
0.0499622835196,Reading, PA
0.0955801825899,Bloomington, IL
0.0567957389275,Reno, NV
0.104556922022,Cheyenne, WY
0.0525957042516,Richmond, VA
2.67064050689e-07,Augusta-Richmond County, GA-SC
4.63766552637e-07,Haverhill-Newburyport-Amesbury Town, MA-NH NECTA Division
0.394392112854,Grand Forks, ND-MN
0.137209458665,Yuba City, CA
0.0924005352778,Des Moines-West Des Moines, IA
0.0517480056937,Wilmington, NC
0.0803445181314,Colorado Springs, CO
0.20989655427,Burlington, NC
0.120220217872,Brunswick, GA
0.106858915602,Las Cruces, NM
0.103531848406,State College, PA
8.32790361421e-07,Olympia-Tumwater, WA
0.106653188355,Manchester, NH
3.11967321782e-12,Hartford-West Hartford-East Hartford, CT
7.84847403889e-08,North Port-Sarasota-Bradenton, FL
0.0430088567739,Gainesville, FL
8.65297874464e-07,East Central New York nonmetropolitan area
8.06076627061e-13,Fayetteville-Springdale-Rogers, AR-MO
0.34158622597,Athens-Clarke County, GA
