mean,regionname
0.0902786349554,Winchester, VA-WV
2.20548839773e-07,Houston-The Woodlands-Sugar Land, TX
0.117263316881,Eugene, OR
0.190432664343,Longview, WA
0.129532585197,Manchester, NH
0.143964714683,Mankato-North Mankato, MN
0.0490134061105,Gainesville, GA
2.65571558549e-13,Miami-Fort Lauderdale-West Palm Beach, FL
9.1165074083e-07,Evansville, IN-KY
0.10731116857,El Paso, TX
1.55246073919e-06,Norwich-New London-Westerly, CT-RI
4.48250975148e-07,College Station-Bryan, TX
0.255114101087,Cumberland, MD-WV
0.117317083932,Corpus Christi, TX
0.0660781248455,Tallahassee, FL
8.93729067612e-07,Cleveland-Elyria, OH
0.119667802278,Nashua, NH-MA NECTA Division
0.128822028329,Dover, DE
0.0381908220213,Barnstable Town, MA
1.23134781757e-06,Ogden-Clearfield, UT
1.46172890274e-08,Naples-Immokalee-Marco Island, FL
0.110286491999,Upper Savannah South Carolina nonmetropolitan area
0.185865393661,Greeley, CO
4.51365804872e-07,Dover-Durham, NH-ME
0.0872541272161,Lincoln, NE
0.45823322929,Flint, MI
0.115869843886,Boise City, ID
0.048660613249,Urban Honolulu, HI
2.08704816793e-07,Carbondale-Marion, IL
4.14409689962e-13,West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division
0.030112456921,Youngstown-Warren-Boardman, OH-PA
0.163286881748,Springfield, MA-CT
1.05948438376e-06,Central New York nonmetropolitan area
4.49909762689e-07,Visalia-Porterville, CA
0.219264196544,Saginaw, MI
1.41091375122e-17,New York-Newark-Jersey City, NY-NJ-PA
0.56839896879,Cape Girardeau, MO-IL
0.0696587817285,Flagstaff, AZ
3.77955994192e-07,Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
1.87531981221e-12,Anniston-Oxford-Jacksonville, AL
1.52526785195e-06,Milwaukee-Waukesha-West Allis, WI
0.0530028693986,Gainesville, FL
1.82046374251e-13,Oxnard-Thousand Oaks-Ventura, CA
3.86993197385e-12,Albany-Schenectady-Troy, NY
