mean,regionname
1.04300605344e-18,Atlanta-Sandy Springs-Roswell, GA
9.45741121016e-11,Greensboro-High Point, NC
0.0914831440774,Southeast Idaho nonmetropolitan area
0.20514241999,Midland, TX
4.86285232527e-07,Lafayette-West Lafayette, IN
0.915651966527,Flint, MI
0.379841473713,Terre Haute, IN
0.0308538608132,Piedmont North Carolina nonmetropolitan area
2.98027878131e-12,Portland-Vancouver-Hillsboro, OR-WA
0.118332360273,Napa, CA
6.18846137835e-07,Chambersburg-Waynesboro, PA
2.95474648678,Gary, IN Metropolitan Division
0.227887469143,Fayetteville, NC
0.635076719763,Los Alamos County, New Mexico nonmetropolitan area
1.78393154951e-17,New York-Jersey City-White Plains, NY-NJ Metropolitan Division
1.16249801483e-09,Buffalo-Cheektowaga-Niagara Falls, NY
0.397731254718,Lynchburg, VA
1.41498310699,Gulfport-Biloxi-Pascagoula, MS
3.18297564031e-12,Dallas-Plano-Irving, TX Metropolitan Division
0.140373050728,Reading, PA
0.14146706096,Santa Rosa, CA
1.7702216989e-11,Indianapolis-Carmel-Anderson, IN
0.27270024061,Dalton, GA
0.0950855439002,Santa Fe, NM
0.248448519324,Corvallis, OR
0.0688417092611,Southwest Washington nonmetropolitan area
1.79668126191e-07,San Diego-Carlsbad, CA
0.378454371683,Springfield, MA-CT
0.106367036096,Southeast Alabama nonmetropolitan area
0.406885870945,Las Cruces, NM
2.36345330453e-06,Olympia-Tumwater, WA
0.121204851637,Prescott, AZ
0.171871204637,Sebastian-Vero Beach, FL
0.460190062938,Monroe, MI
3.76847096235e-08,Naples-Immokalee-Marco Island, FL
8.57131308055e-13,Oakland-Hayward-Berkeley, CA Metropolitan Division
0.339833132474,Nashua, NH-MA NECTA Division
0.388218573681,East Kentucky nonmetropolitan area
0.0823041763452,Southeast Missouri nonmetropolitan area
0.135925833382,Boulder, CO
1.52234811845e-17,McAllen-Edinburg-Mission, TX
0.641409729074,Jefferson City, MO
2.90097875071e-07,Parkersburg-Vienna, WV
0.665094222928,Wenatchee, WA
5.87626232491e-07,Houston-The Woodlands-Sugar Land, TX
7.10918084062e-07,Fort Wayne, IN
0.994435122502,Bay City, MI
2.37356948925e-16,Allentown-Bethlehem-Easton, PA-NJ
4.08447990567e-06,Norwich-New London-Westerly, CT-RI
1.42677022262e-11,Lawrence-Methuen Town-Salem, MA-NH NECTA Division
0.292528195242,Savannah, GA
0.382546323969,Brownsville-Harlingen, TX
0.138846475932,Worcester, MA-CT
0.191534780816,Missoula, MT
2.08209852006e-07,North Port-Sarasota-Bradenton, FL
