mean,regionname
3.09003170955e-11,Greensboro-High Point, NC
0.100035067127,Jackson, TN
0.114579693523,Springfield, MO
0.103819512508,Wichita, KS
0.275311451135,Cumberland, MD-WV
0.519360990467,Gulfport-Biloxi-Pascagoula, MS
7.83860267933e-07,Evansville, IN-KY
1.0369670167e-06,Ogden-Clearfield, UT
2.64052164412e-07,Fort Wayne, IN
0.0953775220559,Salisbury, MD-DE
0.694703332423,Clarksville, TN-KY
0.0693050085863,Fayetteville, NC
0.063024503438,Lincoln, NE
0.173953584649,Hagerstown-Martinsburg, MD-WV
0.0716543990008,Flagstaff, AZ
0.121580795108,Elizabethtown-Fort Knox, KY
1.5819896062e-12,Anniston-Oxford-Jacksonville, AL
0.103227053829,Fresno, CA
6.1518088581e-12,South Bend-Mishawaka, IN-MI
0.0529826929476,Worcester, MA-CT
0.0983178605931,Ocala, FL
7.35286935255e-13,Staunton-Waynesboro, VA
1.54102456593e-06,Dallas-Fort Worth-Arlington, TX
1.2574689789e-12,Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division
0.055893194842,Gainesville, GA
1.04379543868e-12,Chicago-Naperville-Elgin, IL-IN-WI
0.0938086682703,Grand Junction, CO
9.17456330032e-17,Allentown-Bethlehem-Easton, PA-NJ
0.0706322367092,Wilmington, DE-MD-NJ Metropolitan Division
0.0752861960672,Winchester, VA-WV
0.103525709693,Farmington, NM
0.0800366805195,Jonesboro, AR
0.19802558979,Waterbury, CT
0.0918161760524,Madison, WI
0.324605080021,Wenatchee, WA
7.85786684444e-08,Parkersburg-Vienna, WV
4.99022081538e-18,New York-Jersey City-White Plains, NY-NJ Metropolitan Division
0.135432063605,Philadelphia, PA Metropolitan Division
8.56184093067e-13,Fayetteville-Springdale-Rogers, AR-MO
5.00558297534e-13,Peabody-Salem-Beverly, MA NECTA Division
2.68400171949e-06,York-Hanover, PA
4.17901536739e-07,College Station-Bryan, TX
0.0820485631452,Corpus Christi, TX
0.116895725945,Nashua, NH-MA NECTA Division
1.74819524311e-08,Naples-Immokalee-Marco Island, FL
0.155147353385,Lake County-Kenosha County, IL-WI Metropolitan Division
0.223003216935,Burlington, NC
0.214097275802,Los Alamos County, New Mexico nonmetropolitan area
0.103741033531,Upper Savannah South Carolina nonmetropolitan area
0.201478368829,Central Kentucky nonmetropolitan area
7.63070231653e-07,Cape Coral-Fort Myers, FL
0.135354053992,Monroe, LA
1.05286900921e-06,Olympia-Tumwater, WA
0.281837649884,Topeka, KS
0.121089840424,Grants Pass, OR
4.93318121475e-07,Lewiston-Auburn, ME
0.259499728969,Vineland-Bridgeton, NJ
0.150352791291,Springfield, MA-CT
0.112909756363,Salem, OR
0.0945272761623,Dalton, GA
5.00747937222e-07,Haverhill-Newburyport-Amesbury Town, MA-NH NECTA Division
0.0799994537986,New Haven, CT
3.17196430684e-07,Augusta-Richmond County, GA-SC
7.85315031294e-07,Spokane-Spokane Valley, WA
0.119334360295,Myrtle Beach-Conway-North Myrtle Beach, SC-NC
0.0891225015086,Fort Collins, CO
0.0484231283791,Gainesville, FL
0.0840703546998,Watertown-Fort Drum, NY
0.0777106459074,Peoria, IL
2.16916286378e-13,Oxnard-Thousand Oaks-Ventura, CA
0.122217767907,El Centro, CA
0.197559550662,East Kentucky nonmetropolitan area
2.02942797828e-07,Carbondale-Marion, IL
0.0202237575143,Great Falls, MT
1.37581132929e-12,Seattle-Bellevue-Everett, WA Metropolitan Division
0.117455551826,Eugene, OR
0.152050887034,Longview, WA
0.136836392651,Manchester, NH
0.285215167702,Racine, WI
0.125379672317,Jackson, MI
0.122705571914,Springfield, IL
0.140990256444,Yuba City, CA
0.0940426782482,Champaign-Urbana, IL
0.0701503704816,Auburn-Opelika, AL
0.125656867928,Dover, DE
0.122338083528,Little Rock-North Little Rock-Conway, AR
8.78139494772e-13,Riverside-San Bernardino-Ontario, CA
0.396958843439,Athens-Clarke County, GA
0.0334121237304,Southeast Coastal North Carolina nonmetropolitan area
1.26552695887e-12,Washington-Arlington-Alexandria, DC-VA-MD-WV
0.0494119640642,Ocean City, NJ
