mean,regionname
0.141282421849,Knoxville, TN
0.0624295591507,Boulder, CO
1.32447489215e-12,Dallas-Plano-Irving, TX Metropolitan Division
0.256187631342,Albany, OR
6.20862690984e-07,Visalia-Porterville, CA
0.109816936333,Fayetteville, NC
1.50900687652e-06,Pittsburgh, PA
0.0935173707232,Mansfield, OH
3.3737382783e-12,Charlotte-Concord-Gastonia, NC-SC
0.0928141945721,Santa Rosa, CA
0.927919587894,Clarksville, TN-KY
0.459459450031,Scranton--Wilkes-Barre--Hazleton, PA
0.151933295775,Jackson, MS
1.85842464268e-12,Washington-Arlington-Alexandria, DC-VA-MD-WV
0.0471180032876,Danville, IL
0.491063138828,Kansas City, MO-KS
9.63429344089e-18,McAllen-Edinburg-Mission, TX
0.0535078440439,East Washington nonmetropolitan area
0.103255359704,Lubbock, TX
0.0906949355636,Flagstaff, AZ
9.95340831303e-08,San Diego-Carlsbad, CA
0.0920835847022,Tyler, TX
0.0575601316049,Southeast Nebraska nonmetropolitan area
0.0456258583104,Youngstown-Warren-Boardman, OH-PA
0.130998035407,Lebanon, PA
0.176128580227,Longview, TX
0.122407501092,Winston-Salem, NC
0.0709758085994,Gainesville, FL
0.462491134515,Akron, OH
0.44175519036,Binghamton, NY
0.509087575717,Racine, WI
0.219840825431,Pueblo, CO
2.77242272754e-06,Milwaukee-Waukesha-West Allis, WI
1.98065718337e-06,California-Lexington Park, MD
9.90548923542e-13,New Orleans-Metairie, LA
3.35698431012e-06,Harrisburg-Carlisle, PA
0.0626886076794,Santa Cruz-Watsonville, CA
0.692691915839,Grand Forks, ND-MN
2.43825628556e-13,Anaheim-Santa Ana-Irvine, CA Metropolitan Division
0.0876683246642,Wilmington, NC
1.40442683205e-12,Riverside-San Bernardino-Ontario, CA
1.27082165105e-06,Spokane-Spokane Valley, WA
1.07977167309e-06,Killeen-Temple, TX
0.129389414407,Midland, MI
0.177068116159,Dover, DE
0.289446700405,Baton Rouge, LA
0.167338971899,Peoria, IL
0.280622961441,Victoria, TX
1.35686516012e-06,Capital/Northern New York nonmetropolitan area
0.102920425856,Valdosta, GA
5.03145624749e-07,Tacoma-Lakewood, WA Metropolitan Division
0.0991246394111,Tuscaloosa, AL
4.55578238488e-13,Boston-Cambridge-Nashua, MA-NH
6.26068545091e-07,Hickory-Lenoir-Morganton, NC
3.54843698648e-07,Lafayette-West Lafayette, IN
0.118412850576,Ocala, FL
2.13348621619e-08,Naples-Immokalee-Marco Island, FL
0.0590757682064,Southeast Kansas nonmetropolitan area
0.320218352016,Panama City, FL
1.40917353303e-16,Allentown-Bethlehem-Easton, PA-NJ
1.42297276985,Michigan City-La Porte, IN
0.113697538992,Reno, NV
0.101416589278,Pensacola-Ferry Pass-Brent, FL
0.764473710011,Dutchess County-Putnam County, NY Metropolitan Division
0.45006041823,Kennewick-Richland, WA
4.43940529675e-13,Bridgeport-Stamford-Norwalk, CT
0.526822567313,Niles-Benton Harbor, MI
5.82778409567e-07,Jacksonville, FL
0.0170721919687,Piedmont North Carolina nonmetropolitan area
1.068311839e-11,South Bend-Mishawaka, IN-MI
0.168906686196,Brunswick, GA
1.8764880719e-07,Tampa-St. Petersburg-Clearwater, FL
1.74733595124e-06,Green Bay, WI
0.175962115123,Nassau County-Suffolk County, NY Metropolitan Division
0.291440803283,South Central Kentucky nonmetropolitan area
0.282661613886,Glens Falls, NY
0.147268880951,Ann Arbor, MI
2.75555112424e-13,Hilton Head Island-Bluffton-Beaufort, SC
1.03936574785e-13,San Jose-Sunnyvale-Santa Clara, CA
0.462393481473,Fort Worth-Arlington, TX Metropolitan Division
1.57146594037e-06,Cleveland-Elyria, OH
1.88514320783e-12,Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division
0.295954416021,Waterbury, CT
0.126584570179,Fort Collins, CO
1.1595789476e-12,Orlando-Kissimmee-Sanford, FL
0.314009058722,Eau Claire, WI
0.130159241277,Modesto, CA
0.431999897373,Abilene, TX
0.114961667938,Winchester, VA-WV
0.185036835258,Newark, NJ-PA Metropolitan Division
0.18925026863,Lynchburg, VA
0.179590317937,Cheyenne, WY
0.161440497441,Elizabethtown-Fort Knox, KY
0.435209881549,Rochester, NY
0.121252540984,Sebring, FL
0.354266768785,Monroe, MI
3.41465512736e-12,Brockton-Bridgewater-Easton, MA NECTA Division
8.35389683525e-07,Minneapolis-St. Paul-Bloomington, MN-WI
8.15158341137e-07,Daphne-Fairhope-Foley, AL
0.295835717962,Saginaw, MI
0.118101467686,Southwest Wyoming nonmetropolitan area
0.18468346805,Davenport-Moline-Rock Island, IA-IL
0.0525363923081,Southeast Alabama nonmetropolitan area
0.0639121816312,Southeast Iowa nonmetropolitan area
0.137499911013,Grand Junction, CO
0.0754752968264,Southeast Minnesota nonmetropolitan area
0.0492722417538,Santa Fe, NM
3.63605402448e-13,Miami-Fort Lauderdale-West Palm Beach, FL
0.333927447455,Florence, SC
0.134931323673,Colorado Springs, CO
0.230720644124,Hagerstown-Martinsburg, MD-WV
1.67412940464e-18,Warren-Troy-Farmington Hills, MI Metropolitan Division
4.46305717521e-07,New Bedford, MA
0.140208633063,New Haven, CT
3.86381509347e-13,San Luis Obispo-Paso Robles-Arroyo Grande, CA
5.87228033269e-13,West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division
0.190028990813,Bloomington, IN
0.235152593942,Decatur, IL
0.0879343227956,Tallahassee, FL
0.150860082817,Wichita Falls, TX
1.26223773862e-13,Boston-Cambridge-Newton, MA NECTA Division
1.49866055744e-06,Evansville, IN-KY
0.161400378442,Memphis, TN-MS-AR
0.124296794574,Northeast Wyoming nonmetropolitan area
1.54692962577e-06,Olympia-Tumwater, WA
0.367574112044,Rockford, IL
2.91431830629e-06,Kalamazoo-Portage, MI
0.508874796621,Jefferson City, MO
1.1344295041e-06,Greenville, NC
0.155074029912,State College, PA
0.0854360893059,Worcester, MA-CT
0.061800508164,Southeast Missouri nonmetropolitan area
4.10335974674e-14,Miami-Miami Beach-Kendall, FL Metropolitan Division
8.63233257683e-13,Peabody-Salem-Beverly, MA NECTA Division
0.140880060898,Redding, CA
0.103393664089,Northwest Wyoming nonmetropolitan area
0.127699857717,El Paso, TX
3.65768629451e-07,Bend-Redmond, OR
3.19429388642e-07,Kingsport-Bristol-Bristol, TN-VA
0.162401106428,San Juan-Carolina-Caguas, PR
6.03645107157e-14,Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division
0.200839268418,Lansing-East Lansing, MI
0.137191726051,Waco, TX
0.533111929278,Lawrence, KS
2.61297929171e-12,Seattle-Tacoma-Bellevue, WA
4.96286427178e-13,Oakland-Hayward-Berkeley, CA Metropolitan Division
0.15947022704,Corvallis, OR
6.23814377902e-07,Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
0.0728848840926,Sierra Vista-Douglas, AZ
0.0939510958478,Huntsville, AL
0.271984242021,Philadelphia, PA Metropolitan Division
0.107017788072,Erie, PA
0.374416282258,Florence-Muscle Shoals, AL
0.176863296785,Little Rock-North Little Rock-Conway, AR
0.249835006878,Hattiesburg, MS
0.549615145279,Lexington-Fayette, KY
0.261278243644,Springfield, IL
0.140643323104,Albuquerque, NM
0.0900107784749,Urban Honolulu, HI
3.37442511564e-07,Mount Vernon-Anacortes, WA
0.142683896811,Danbury, CT
0.18792742253,Columbus, GA-AL
0.303344929696,Duluth, MN-WI
0.167223014292,Savannah, GA
0.144876046457,Salem, OR
0.0852875012601,Napa, CA
0.147839019187,Chattanooga, TN-GA
