mean,regionname
0.300944097691,Rocky Mount, NC
0.279753681343,Ithaca, NY
0.591630983489,Kokomo, IN
0.566865567099,West Kentucky nonmetropolitan area
6.29344258587e-07,Houston-The Woodlands-Sugar Land, TX
4.85615271686e-12,Palm Bay-Melbourne-Titusville, FL
0.32955798252,Kingston, NY
0.228546403209,Champaign-Urbana, IL
0.163478997183,Tallahassee, FL
1.08490620738e-12,West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division
0.380338783561,Greeley, CO
0.335707815618,El Centro, CA
0.688894851842,Toledo, OH
1.27946620362e-09,Buffalo-Cheektowaga-Niagara Falls, NY
1.41992334985,Cape Girardeau, MO-IL
0.278100580681,Merced, CA
0.212291121162,Auburn-Opelika, AL
3.62439801166e-12,Seattle-Bellevue-Everett, WA Metropolitan Division
0.331979266569,Cincinnati, OH-KY-IN
0.273888238968,Durham-Chapel Hill, NC
6.65901713666e-13,Miami-Fort Lauderdale-West Palm Beach, FL
0.449034032218,Portsmouth, NH-ME
3.5683637768,Gary, IN Metropolitan Division
0.232736619902,Grand Junction, CO
0.46087446353,Yuba City, CA
0.126360143328,Gainesville, GA
1.06977062234,Hammond, LA
0.128860185871,Medford, OR
4.79370045313e-07,Carbondale-Marion, IL
0.381724183539,Lynchburg, VA
0.1778581309,Nantucket Island and Martha's Vineyard nonmetropolitan area
1.26050440067e-12,Peabody-Salem-Beverly, MA NECTA Division
0.213112248207,Dalton, GA
0.775257501686,Abilene, TX
0.445082915912,Brownsville-Harlingen, TX
3.74657942979e-08,Naples-Immokalee-Marco Island, FL
0.751679435713,Florence-Muscle Shoals, AL
0.871113812686,Los Alamos County, New Mexico nonmetropolitan area
0.185769098843,Valdosta, GA
1.40257177765e-06,Grand Rapids-Wyoming, MI
2.01229780873e-13,San Jose-Sunnyvale-Santa Clara, CA
0.214434250034,Ann Arbor, MI
0.21118004655,Odessa, TX
0.839803357026,Grand Island, NE
2.13900784235e-12,Fayetteville-Springdale-Rogers, AR-MO
0.508679636482,South Central Kentucky nonmetropolitan area
1.04727388237,Flint, MI
0.282755051824,Waco, TX
3.86149099539e-06,Norwich-New London-Westerly, CT-RI
1.9437216457e-06,Burlington-South Burlington, VT
0.089535540838,Central Washington nonmetropolitan area
0.67812312015,Vineland-Bridgeton, NJ
2.36182518544e-06,Green Bay, WI
0.124222764446,Napa, CA
0.306490129816,Nashua, NH-MA NECTA Division
0.241519143006,Salem, OR
2.34125888684e-06,Pittsburgh, PA
0.254307222194,Des Moines-West Des Moines, IA
0.259103603645,Tucson, AZ
0.166811740404,Sebastian-Vero Beach, FL
1.22255850299e-06,Jacksonville, FL
0.259269393338,Huntsville, AL
0.399702370549,Eau Claire, WI
0.12379884847,Lafayette, LA
0.951018821377,Kennewick-Richland, WA
0.749401941327,Wenatchee, WA
0.0817653112331,East Washington nonmetropolitan area
