mean,regionname
8.18471726066e-11,Detroit-Dearborn-Livonia, MI Metropolitan Division
0.202344932688,Yakima, WA
0.622226756784,Hammond, LA
0.236889534831,Warner Robins, GA
2.47667855242e-13,Anaheim-Santa Ana-Irvine, CA Metropolitan Division
3.43876757032e-07,Bend-Redmond, OR
0.1739868505,Memphis, TN-MS-AR
0.568471943847,Omaha-Council Bluffs, NE-IA
5.80988211946e-07,Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
0.158202279391,Jackson, MS
0.431966137173,Shreveport-Bossier City, LA
3.18848870196e-13,Oxnard-Thousand Oaks-Ventura, CA
0.258186464113,Philadelphia, PA Metropolitan Division
0.131269705346,Albuquerque, NM
0.148906594166,Corvallis, OR
0.10807337859,Portland-South Portland, ME
9.37220298021e-12,Indianapolis-Carmel-Anderson, IN
0.266625654478,Hagerstown-Martinsburg, MD-WV
0.18435136776,Mankato-North Mankato, MN
0.133481158292,Grants Pass, OR
0.138813208637,Jackson, TN
9.97719483509e-18,Deltona-Daytona Beach-Ormond Beach, FL
0.120951857585,New Haven, CT
2.49859998753e-07,Tampa-St. Petersburg-Clearwater, FL
0.134476120909,Madison, WI
6.11461975235e-19,Atlanta-Sandy Springs-Roswell, GA
0.0834440161334,Asheville, NC
1.32547000382e-16,Allentown-Bethlehem-Easton, PA-NJ
4.33134425166e-13,Boston-Cambridge-Nashua, MA-NH
0.0707484677582,Boulder, CO
1.2292014651e-12,Crestview-Fort Walton Beach-Destin, FL
0.150162787569,Decatur, IL
7.14380612122e-07,Minneapolis-St. Paul-Bloomington, MN-WI
0.436283750705,Rochester, NY
1.30596528515e-06,Central New York nonmetropolitan area
3.89061963047e-07,Tacoma-Lakewood, WA Metropolitan Division
0.162776359894,Waco, TX
0.154966817385,Yuma, AZ
0.31094159853,Florence-Muscle Shoals, AL
1.11990766405e-13,San Jose-Sunnyvale-Santa Clara, CA
0.128935347801,Redding, CA
1.08014656113e-07,Huntington-Ashland, WV-KY-OH
0.0855813597137,Odessa, TX
0.0566804988353,Santa Cruz-Watsonville, CA
5.35908388277e-14,Miami-Miami Beach-Kendall, FL Metropolitan Division
0.238807634032,Monroe, LA
0.161191225171,Wichita Falls, TX
0.130560669379,Ocala, FL
0.0908083567947,Sierra Vista-Douglas, AZ
0.115977298829,Grand Junction, CO
0.135333243426,Peoria, IL
0.118768209388,Danbury, CT
0.0773874460266,Gainesville, GA
0.141043162879,Knoxville, TN
0.10541834731,Winchester, VA-WV
8.71929308266e-14,San Francisco-Redwood City-South San Francisco, CA Metropolitan Division
0.105889119709,Wilmington, DE-MD-NJ Metropolitan Division
1.37025205405e-07,North Port-Sarasota-Bradenton, FL
0.0998034227169,Watertown-Fort Drum, NY
5.00018667312e-07,Carson City, NV
0.270730918636,Columbus, OH
3.55787057142e-07,Fort Wayne, IN
0.330103409481,Wenatchee, WA
0.126863861194,Salisbury, MD-DE
6.94172469388e-13,West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division
3.12588005135e-06,York-Hanover, PA
0.190184887847,Lansing-East Lansing, MI
0.0979807022779,Tuscaloosa, AL
0.625432035055,Los Alamos County, New Mexico nonmetropolitan area
0.05980804207,Southeast Oklahoma nonmetropolitan area
0.129115893072,Upper Savannah South Carolina nonmetropolitan area
0.109995013822,Raleigh, NC
0.016145430709,Piedmont North Carolina nonmetropolitan area
0.448860661039,Topeka, KS
0.131613997167,Ann Arbor, MI
0.72701560694,Flint, MI
7.9221809543e-12,South Bend-Mishawaka, IN-MI
0.195394741814,Little Rock-North Little Rock-Conway, AR
1.32821565475e-13,Los Angeles-Long Beach-Glendale, CA Metropolitan Division
0.343130860079,Vineland-Bridgeton, NJ
0.063792974258,Southeast Alabama nonmetropolitan area
0.370611568835,Cumberland, MD-WV
0.0518381776939,Southeast Coastal North Carolina nonmetropolitan area
0.127543923552,Midland, TX
0.0373459670443,Southeast Idaho nonmetropolitan area
0.266196161026,Columbus, GA-AL
0.158750174246,Nashua, NH-MA NECTA Division
0.758080106145,Cape Girardeau, MO-IL
0.18859886668,Brunswick, GA
4.36751397432e-13,Miami-Fort Lauderdale-West Palm Beach, FL
4.57937465817e-07,Augusta-Richmond County, GA-SC
3.8939950277e-07,Spartanburg, SC
0.246715161154,West Kentucky nonmetropolitan area
0.176159179136,Bloomington, IN
0.106628360526,Midland, MI
0.398496002566,Akron, OH
0.108049783441,Reno, NV
4.48076985695e-12,Las Vegas-Henderson-Paradise, NV
0.162463776444,Provo-Orem, UT
0.0840815179456,Louisville/Jefferson County, KY-IN
5.97855941756e-07,Visalia-Porterville, CA
0.0972769617953,Tyler, TX
0.349711059896,Racine, WI
2.75331112171e-17,New York-Newark-Jersey City, NY-NJ-PA
0.135446754323,Boise City, ID
1.30035795932e-06,Burlington-South Burlington, VT
1.8356146131e-07,Carbondale-Marion, IL
0.1439423723,Beaumont-Port Arthur, TX
0.145080828531,Chattanooga, TN-GA
0.0481257195016,Southeast Nebraska nonmetropolitan area
1.44572743295e-06,Salinas, CA
0.0443451428104,Southeast Iowa nonmetropolitan area
1.12801416255e-12,Riverside-San Bernardino-Ontario, CA
0.114825336041,Charleston, WV
0.224636796484,Victoria, TX
0.13172885264,Tucson, AZ
0.19661666861,Duluth, MN-WI
4.0471486651e-12,Charlotte-Concord-Gastonia, NC-SC
1.07597309634e-06,Spokane-Spokane Valley, WA
0.082231794305,Gainesville, FL
0.280897973985,Hattiesburg, MS
5.683548862e-12,Hartford-West Hartford-East Hartford, CT
1.36673705832e-06,Greenville, NC
2.23835073553e-06,Norwich-New London-Westerly, CT-RI
0.114930075341,Columbia, MO
0.12346620495,Bakersfield, CA
1.31794746182e-06,Green Bay, WI
0.168438955691,Newark, NJ-PA Metropolitan Division
0.224169629581,Brownsville-Harlingen, TX
0.162629488886,Las Cruces, NM
0.210367567924,Ithaca, NY
0.0846828627973,Wilmington, NC
0.121333025415,Pensacola-Ferry Pass-Brent, FL
0.167140957054,Elizabethtown-Fort Knox, KY
0.143276943366,Des Moines-West Des Moines, IA
