mean,regionname,state
106642.96875,Mohawk,NY
164815.65625,Bridgeport,CT
207748.59375,Oak Grove,OR
90144.1796875,Milan,NY
208353.015625,Leawood,KS
115548.59375,Greenwell Springs,LA
114896.382812,Hemby Bridge,NC
327170.6875,The Plains,VA
247117.265625,Middleborough,MA
33142.5703125,Walhalla,SC
180853.015625,Highland,NY
436244.21875,Mission Viejo,CA
43372.6914062,Petersburg,KY
174678.3125,Bristol,CT
293931.78125,Marshall,VA
100043.773438,Rittman,OH
140341.359375,Laurel,VA
282011.25,Dunwoody,GA
110992.773438,Madison Heights,VA
428505.65625,Brea,CA
141972.296875,Turners Falls,MA
132306.03125,Cherry Grove,OH
230992.375,Spring Branch,TX
261287.546875,Lake Tanglewood,TX
109351.007812,Yukon,OK
444359.40625,San Gabriel,CA
259260.640625,Elm Grove,WI
146600.40625,Alsace Township,PA
99211.6484375,Monroeville,IN
94782.328125,Theodore,AL
77614.4609375,Winamac,IN
285799.1875,Bloomfield Hills,MI
188696.390625,Myrtle Grove,NC
188421.28125,Turner,OR
73249.3984375,Griffith,IN
103563.851562,Edgemont Park,MI
157798.390625,Hinckley,OH
154244.984375,Micanopy,FL
29882.3300781,Diberville,MS
187346.984375,Beachwood,NJ
151070.28125,Beach Park,IL
221424.09375,Bartlett,IL
170754.625,Laconia,NH
166686.75,Caernarvon Township,PA
267209.625,Colonia,NJ
183832.53125,Smithsburg,MD
157871.484375,Sewickley,PA
188619.671875,Newberg,OR
100327.710938,Woodstock,VA
133023.6875,Burns Harbor,IN
135992.765625,Tavares,FL
44902.4101562,Town of Argyle,NY
96342.171875,Town of Homer,NY
138897.59375,Tallahassee,FL
158917.265625,Hershey,PA
126908.4375,Medford,MN
133687.15625,Daphne,AL
361999.34375,Glendora,CA
41807.6289062,Town of Wilson,NY
120007.632812,Callaway,FL
219185.9375,Pleasant View,UT
86124.09375,Amherst,NH
40790.3632812,Muscatine,IA
550197.875,Capitola,CA
183270.6875,Pikesville,MD
196612.84375,Orchard Homes,MT
65583.53125,Steelton,PA
106043.773438,Milan,IN
97256.2265625,West End,NY
83005.625,Jefferson,NY
118810.039062,Norristown,PA
269201.59375,Fulshear,TX
138459.84375,Cortland West,NY
76793.171875,Hephzibah,GA
75388.7578125,Hernando Beach,FL
129641.367188,Blue Ridge,TX
190318.078125,Earl Township,PA
93871.0859375,South Charleston,WV
180203.21875,Flat Rock,NC
123905.625,Yeehaw Junction,FL
115835.742188,Munford,TN
196394.375,Rialto,CA
63687.5507812,Summit Hill,PA
103136.148438,Clay,NY
239613.65625,Angels,CA
89828.109375,Milan,NH
269322.90625,Portsmouth,RI
255052.609375,Town of Litchfield,CT
122413.25,River Ridge,LA
134751.40625,Waverly,NE
113452.609375,Williamson,GA
103558.234375,Rutland,NY
168756.21875,Red Hill,PA
128261.445312,Flying Hills,PA
109821.28125,Universal City,TX
91674.296875,Village Green,NY
164173.5,Stayton,OR
153210.4375,Palm Coast,FL
204172.6875,Derry,NH
139926.5,Lorane,PA
140342.171875,Rye,CO
260015.265625,Maple Valley,WA
439142.09375,Pleasant Hill,CA
107595.179688,West Hills,PA
83264.2578125,Oneida,NY
358498.0625,Northbrook,IL
180898.390625,Stoddard,NH
78053.015625,Oxford,IN
86012.046875,Montrose Township,MI
490624.3125,Town of Mamaroneck,NY
224046.984375,North Stonington,CT
291924.90625,Port Hueneme,CA
100127.3125,Asheboro,NC
155883.9375,Anderson,CA
349571.90625,Mountain Brook,AL
149036.953125,Eyota,MN
97342.5703125,Butler Township,PA
84355.421875,Butlerville,IN
220240.96875,Jacksonville Beach,FL
159685.546875,Golden Glades,FL
87043.375,Nashville,MI
162466.671875,Fulton,PA
150283.125,Wayne Township,PA
94517.265625,St Joseph Township,MI
74574.6953125,Royal Center,IN
178466.265625,Niceville,FL
40913.2539062,Wewahitchka,FL
296142.65625,Bethany,CT
220965.859375,FlorenceGraham,CA
236973.09375,Upper Arlington,OH
110941.765625,Moses Lake,WA
225449.796875,Brinckerhoff,NY
176926.109375,Washington,UT
173768.671875,Hialeah Gardens,FL
462058.875,South Kensington,MD
135663.859375,Paola,KS
102473.09375,Parks Township,PA
160731.328125,Town of Colonie,NY
132191.171875,Round Lake Beach,IL
111495.585938,Martinez,GA
146258.234375,Melrose,FL
62959.4375,Valley,WA
135925.703125,Monroe,OH
488507.25,Ardsley,NY
337940.875,Village of Palmetto Bay,FL
158952.203125,Maidencreek Township,PA
216189.953125,Montgomery Village,MD
102280.320312,Lagrange,IN
173312.046875,Cornelius,OR
78786.75,Caroga,NY
169157.03125,Chestertown,MD
294837.0,Blue Bell,PA
200524.5,Salida,CA
403774.0,Floral Park,NY
148653.015625,Bennett,CO
75451.40625,Holly Hill,SC
440986.625,Middleburg,VA
462586.65625,Redding,CT
163308.4375,Bay Village,OH
111253.8125,Troy,NY
213540.15625,Bellport,NY
282765.5,Moultonborough,NH
183946.984375,Mount Horeb,WI
82176.703125,Kingston,PA
128860.640625,Austinburg,OH
251414.453125,Yardley,PA
111274.695312,Clarksville,TN
197647.390625,Lower Nazareth Township,PA
312526.84375,Guerneville,CA
60275.5039062,Crooksville,OH
149815.65625,Woodfin,NC
91206.421875,Jackson,CA
60081.9257812,Westwego,LA
243442.5625,Pittsburg,CA
77279.515625,Hallsville,MO
263429.71875,Long Branch,NJ
65821.28125,Idalou,TX
132914.0625,Mankato,MN
509096.8125,Needham,MA
256669.875,Bristow,VA
88603.6171875,Fremont,IN
129019.679688,Hawthorne,CA
72108.4375,Ashland,KY
379110.3125,Seattle,WA
177512.046875,Worcester,MA
98799.1953125,Orange City,FL
276088.78125,Freeport,NY
287806.78125,North Hampton,NH
93777.9140625,North Union Township,PA
371131.75,Lely Resort,FL
111644.578125,Lindale,TX
359658.34375,Chino Hills,CA
117724.09375,Pleasant Grove,AL
122589.15625,Waddy,KY
20384.3378906,Peru,IN
168184.34375,Ocean Park,WA
105944.976562,Belen,NM
118955.421875,Silver Springs,FL
102871.484375,Soap Lake,WA
202318.078125,Mentone,CA
236911.25,Clinton,CT
641743.0625,Pacific Grove,CA
133551.40625,Sheridan,OR
197805.21875,Indio,CA
207330.125,New Smyrna Beach,FL
177094.78125,New Kent,VA
34123.6953125,Town of Sandy Creek,NY
124761.445312,Clarkston,GA
36552.609375,Ely,MN
142283.125,Copley,OH
98821.6875,Tipton,IN
85703.2109375,Colesville,NY
78368.671875,Barton,NY
1243567.875,Beverly Hills,CA
96369.8828125,Chalmers,IN
100840.5625,Green Bay,WI
65722.4921875,Rushford,NY
114423.296875,Olin,NC
76223.6953125,Cumberland Head,NY
183579.515625,Rio,FL
150269.875,Putnam,CT
198986.34375,Upper Providence Township,PA
123271.484375,Northwest Harborcreek,PA
73944.578125,Northbrook,OH
112002.007812,Winder,GA
114858.632812,Ringgold,VA
263306.8125,White Post,VA
186388.359375,Safety Harbor,FL
141739.765625,Monroe,VA
147987.15625,Nelson,GA
432066.125,Union City,CA
103050.601562,Vidalia,GA
151407.625,Star,ID
493802.375,Biltmore Forest,NC
208944.171875,Weatherby Lake,MO
197518.46875,Dudley,MA
104295.179688,Taft,CA
108781.125,Highland Heights,KY
36986.34375,Mabton,WA
151810.046875,Granger,IN
214841.765625,Auburn,WA
143085.140625,South Newton,PA
67036.9453125,Cayuga,IN
66018.4765625,New Brunswick,NJ
211877.515625,New Hanover,PA
112759.4375,Pomona Park,FL
181261.046875,Crestwood,IL
229039.765625,Walton Park,NY
165869.484375,Merritt Island,FL
63823.6953125,Bridgeport,NY
122670.28125,North Bethlehem Township,PA
71163.0546875,Logansport,IN
548715.9375,Carlisle,MA
201025.296875,Cathedral City,CA
114653.414062,Auburndale,FL
103587.148438,Sophia,NC
126234.132812,Shaler Township,PA
79589.9609375,Springhill,PA
235432.125,Lanai City,HI
165089.15625,Boscawen,NH
458366.78125,Morro Bay,CA
556207.25,Santa Ynez,CA
111534.9375,Deerfield,MI
172308.828125,Lake Mary,FL
586282.0625,Rye Brook,NY
207675.5,Kirkwood,MO
239494.78125,Littleton,CO
222377.109375,Bow,NH
339491.21875,Willistown Township,PA
223396.390625,Meridian Hills,IN
290684.78125,Hamilton,VA
169430.125,Tillson,NY
61357.0273438,Elsberry,MO
403198.84375,East Quogue,NY
337316.8125,South Miami,FL
262088.75,Bedminster,PA
252891.171875,Farmington,CT
25720.8828125,Oakhurst,OK
467368.90625,Valhalla,NY
96000.0,University,FL
86470.28125,Henry,VA
186076.703125,Boonsboro,MD
126417.265625,Zebulon,NC
193143.375,Grosse Ile,MI
85636.1484375,Rock Island,IL
100003.617188,South Euclid,OH
522671.125,Daly City,CA
97795.5859375,Coleman,MI
263757.03125,National City,CA
191081.125,North Whitehall Township,PA
97020.484375,Town of Springfield,VT
254657.828125,Beekman,NY
267280.3125,Middletown,RI
128097.992188,Brownsburg,IN
67821.6875,Lago Vista,TX
419367.875,Pauma Valley,CA
97760.2421875,Garden City,KS
112852.210938,Metairie,LA
105098.796875,Murray,KY
230571.890625,Prospect,CT
257230.125,Sterling,MA
42968.2734375,Bastrop,TX
214579.109375,Hubbardston,MA
126364.257812,Burton,SC
227206.828125,Madison Lake,MN
152606.828125,Braselton,GA
168053.8125,Longwood,FL
258362.65625,Atkinson,NH
170608.03125,Clay Township,PA
177757.4375,Pittsboro,NC
588739.8125,Highland Beach,FL
115663.453125,Sanford,MI
19176.3046875,Oakwood,PA
434468.8125,Town of Boxford,MA
97251.0078125,Radcliff,KY
86236.1484375,Saint Albans,WV
161469.078125,Pateros,WA
149708.03125,Hampton Township,PA
167554.21875,Bayou Vista,TX
172620.890625,De Forest,WI
97838.953125,Solsberry,IN
275006.46875,Mendota Heights,MN
462351.8125,Ojai,CA
88822.0859375,Bradner,OH
119977.914062,Reedsburg,WI
262228.5,Jefferson Township,NJ
78616.46875,Francesville,IN
56832.53125,Hill 'n Dale,FL
159221.6875,Lomita,CA
130291.164062,Clarkesville,GA
164818.46875,Walden,NY
207401.203125,Carteret,NJ
211032.125,Homewood,AL
188265.46875,Reisterstown,MD
692868.5625,Moss Beach,CA
176160.640625,Elk,WA
152468.671875,Bern Township,PA
82424.5,Seward,NY
209117.265625,Payson,AZ
152355.828125,Bakersfield,CA
101632.53125,Allentown,PA
392325.71875,Camarillo,CA
87062.6484375,Thomson,GA
120319.273438,Nogales,AZ
186132.9375,Ansonia,CT
148744.984375,Lake Magdalene,FL
82680.3203125,Locust Grove,OK
100369.476562,Lamont,CA
84744.1796875,Columbia,PA
95830.5234375,Clifton Springs,NY
297041.34375,Caswell Beach,NC
178460.234375,Greenwich Township,PA
91203.2109375,Gilpin Township,PA
414246.5625,Norwell,MA
133124.90625,Belews Creek,NC
272451.4375,Middletown,NJ
33973.09375,Wewoka,OK
153364.65625,Valparaiso,IN
132343.375,Danville,IN
92382.328125,Emerson,GA
275023.75,Glen Ellyn,IL
60562.25,Moreno Valley,CA
60740.5625,Dravosburg,PA
149773.5,Dover,MN
133088.359375,Fayetteville,AR
40541.765625,Wellston,OH
103326.507812,Byram,MS
224198.796875,Oakham,MA
100207.226562,Burdett,NY
48634.1367188,Columbus,MS
183774.296875,Shelby Township,MI
209115.65625,Amberley,OH
263491.96875,Town of Meredith,NH
141610.4375,Glen Rock,PA
95248.9921875,Town of Naples,NY
114291.5625,Phillipsburg,NJ
168260.640625,McHenry,IL
106272.289062,Kingsport,TN
220459.03125,Elk Grove Village,IL
61180.3203125,Kingsland,TX
270852.21875,El Dorado,CA
150200.40625,Madison,NH
86185.140625,Chester,NH
116892.367188,Brighton,TN
258464.65625,Camino,CA
35367.0664062,Olive Branch,MS
318475.5625,Inglewood,CA
203068.265625,Deerfield Beach,FL
78946.984375,Grandview,IN
103220.078125,Dallastown,PA
270958.1875,Dennis,MA
234760.234375,University Park,FL
173495.578125,Shorewood,IL
378404.71875,Western Springs,IL
107601.203125,Arlington,OH
191495.984375,Franklin,CT
152787.953125,Coral Hills,MD
143641.359375,Saint Cloud,FL
801576.375,Chilmark,MA
165279.515625,Fitzwilliam,NH
103060.242188,Elsie,MI
63374.6992188,Monongahela,PA
108122.085938,Mountain View,NC
184234.53125,Aiea,HI
94082.734375,Rogersville,TN
134976.703125,Duncanville,AL
152891.96875,Shaker Heights,OH
31853.0117188,Warden,WA
179492.375,Trussville,AL
85792.3671875,Pasadena,TX
73665.8671875,Bellefontaine Neighbors,MO
106171.085938,Conyers,GA
344458.59375,Lake Forest Park,WA
183226.109375,Howell,MI
122150.601562,Whitehouse,TX
158158.234375,West Manheim,PA
103820.078125,Chattanooga,TN
159449.0,Troutville,VA
314875.4375,Stockbridge,MA
122532.125,Chapmansboro,TN
320992.0,Chula Vista,CA
103106.828125,Fair Grove,MO
24087.9511719,Port Henry,NY
322461.21875,El Cajon,CA
152817.671875,Knox,NY
150881.921875,Walland,TN
176889.5625,Gages Lake,IL
110045.78125,Marianna,FL
105815.664062,Lawsonville,NC
227956.625,Kiowa,CO
51343.7734375,Leechburg,PA
46468.6757812,Dillon,MT
170156.21875,Silver Lake,OH
176095.578125,Kenwood,OH
78918.875,Kansas City,KS
125800.804688,Homestead Meadows North,TX
40144.578125,Apple Creek,OH
85346.5859375,Covington,TN
294698.4375,Manorville,NY
186232.53125,Newton,NJ
68197.59375,California,PA
162659.84375,Middleton,NH
143632.9375,Perry,PA
143544.171875,Halfway,MD
174671.890625,Yuba City,CA
335060.46875,Tybee Island,GA
237573.09375,Freehold Township,NJ
297627.6875,Rough and Ready,CA
74354.6171875,Burton,MI
185974.703125,Amity Township,PA
312998.375,Mount Olympus,UT
57210.84375,East Bethlehem Township,PA
154175.09375,Providence Forge,VA
169808.03125,White Bear Lake,MN
1262867.0,Tiburon,CA
752183.0625,Sag Harbor,NY
126119.679688,Culver,IN
153684.734375,West Earl Township,PA
153356.21875,North Saint Paul,MN
106184.335938,Patterson Township,PA
98064.2578125,Gang Mills,NY
123020.882812,Norton,OH
198991.5625,Becket,MA
52540.5625,Lincoln,ND
233110.046875,Elko New Market,MN
67706.421875,Holderness,NH
183017.265625,Lincoln Village,CA
88602.8125,North Tonawanda,NY
396377.0625,Hillsdale,NJ
148905.21875,Cheney,WA
180248.59375,Mission Hills,KS
119110.445312,Palmerton,PA
334341.46875,Madison,CT
57284.7382812,Sugarcreek,PA
121542.96875,Otisco,NY
79303.2109375,New Market,AL
376198.8125,Salisbury,NY
304889.15625,Penn Valley,CA
151202.8125,Quarryville,PA
121925.703125,Baraboo,WI
417328.09375,Paia,HI
86665.8671875,Lapel,IN
153123.296875,Greeley,CO
266351.0,Kingston,RI
37206.828125,Lauderhill,FL
26844.578125,Eupora,MS
147716.0625,Port Ewen,NY
131918.078125,Harvard,IL
126629.320312,Weigelstown,PA
251781.53125,Huntsville,UT
113057.03125,Fort Branch,IN
187437.34375,Old Mystic,CT
214624.09375,Collegeville,PA
211903.21875,Saratoga Springs,NY
146404.8125,Richmond Hill,GA
99821.28125,Floodwood,MN
53379.1171875,Bennington,OK
148957.4375,Town of Port Washington,WI
158085.140625,Rock Hill,MO
250733.734375,West Chester,PA
86713.25,Loogootee,IN
147046.1875,Danbury,NH
186832.125,Centerville,UT
90126.5078125,Carthage,IN
100962.648438,Fairburn,GA
135722.890625,Diamond,OH
160925.703125,West Sand Lake,NY
386416.9375,Milton,MA
210844.984375,Stafford,VA
166499.203125,Paradise Township,PA
280764.28125,Foresthill,CA
66905.21875,Velda Village,MO
303095.53125,Westborough,MA
495120.90625,Novato,CA
137957.828125,Laingsburg,MI
323168.3125,Tinicum Township,PA
21685.140625,Dewey,OK
160319.28125,Burns,TN
173211.640625,Sadsbury Township,PA
173791.96875,Tempe,AZ
22836.9472656,Vivian,LA
181833.328125,Leicester,NC
74173.09375,Dellwood,MO
129049.796875,Brooklet,GA
224728.109375,Pasadena,MD
139827.3125,Battle Ground,IN
273627.3125,Rockaway Township,NJ
73508.4375,Troy,MO
126246.984375,East Union Township,PA
361731.34375,Emerson,NJ
70798.390625,Combee Settlement,FL
256036.140625,Union Vale,NY
25046.5859375,North Apollo,PA
33613.2539062,Montague,MI
115781.125,Goshen,OH
189765.0625,Ignacio,CO
269618.90625,Lower Salford Township,PA
318004.9375,Carson,CA
108501.203125,Town of Otego,NY
98698.390625,Mount Clemens,MI
